FechaVenta,CodigoProducto,Producto,Cantidad,PrecioVenta,CodigoCliente,Cliente,CodigoTienda,Tienda
2024-03-02,15,Secadora de Ropa 8kg,3,1130.01,3,Initech,10,ElectroShop California
2024-03-23,19,Soundbar 2.1 Canales,2,1072.88,2,Globex Corporation,7,Tienda Express
2024-04-14,14,refrigerador simple puerta,2,800.0,8,Dunder Mifflin,16,Online Electronics
2024-04-14,20,"Televisor LED 43"" 4K UHD",4,2000.84,29,Jones-Carter,5,Tienda Premium
2024-03-04,16,Amplificador de Audio,3,882.33,17,Williams Ltd,13,ElectroShop Norte
2024-03-04,16,Amplificador de Audio,4,1176.44,6,Stark Industries,9,Tienda Online Plus
2024-03-16,25,Auriculares con Cancelación de Ruido,1,393.14,20,Armstrong-Rice,30,ElectroShop Online Plus
2024-04-26,22,Consola de Videojuegos,1,455.51,5,Weyland-Yutani,24,ElectroShop Online Plus
2024-03-12,19,Soundbar 2.1 Canales,1,536.44,9,Pied Piper,5,Tienda Premium
2024-04-15,6,licuadora 600w,2,140.0,25,Scott-Johnson,3,Outlet Norte
2024-04-30,19,Soundbar 2.1 Canales,2,1072.88,8,Dunder Mifflin,13,ElectroShop Norte
2024-03-06,28,Micrófono USB para Streaming,1,303.66,19,Clark LLC,3,Outlet Norte
2024-03-09,24,Auriculares Inalámbricos Bluetooth,1,462.49,23,"Perkins, Mayo and Richards",1,ElectroShop Online
2024-04-14,23,Cámara Digital 20MP,5,1281.1,4,Umbrella Corp,2,Tienda Central
2024-04-26,4,microondas 20l,3,300.0,20,Armstrong-Rice,7,Tienda Express
2024-03-26,2,lavadora 8kg,1,450.0,5,Weyland-Yutani,6,ElectroShop Oeste
2024-03-08,7,home theater 5.1,2,400.0,2,Globex Corporation,8,ElectroShop Este
2024-03-20,15,Secadora de Ropa 8kg,3,1130.01,18,Thompson-Payne,19,Tienda Boston Center
2024-03-27,5,aspiradora sin bolsa,4,1000.0,18,Thompson-Payne,17,Electronics Austin
2024-04-14,5,aspiradora sin bolsa,4,1000.0,3,Initech,1,ElectroShop Online
2024-04-09,20,"Televisor LED 43"" 4K UHD",1,500.21,24,Horton Inc,6,ElectroShop Oeste
2024-03-13,19,Soundbar 2.1 Canales,2,1072.88,27,Phelps PLC,24,ElectroShop Online Plus
2024-04-25,20,"Televisor LED 43"" 4K UHD",3,1500.63,8,Dunder Mifflin,4,ElectroShop Sur
2024-03-16,22,Consola de Videojuegos,5,2277.55,8,Dunder Mifflin,6,ElectroShop Oeste
2024-04-23,6,licuadora 600w,1,70.0,3,Initech,20,TechStore Columbus
2024-03-11,1,"televisor led 55""",1,500.0,22,Crosby-Robinson,4,ElectroShop Sur
2024-04-21,23,Cámara Digital 20MP,2,512.44,5,Weyland-Yutani,23,Virtual Store Pro
2024-04-18,2,lavadora 8kg,4,1800.0,20,Armstrong-Rice,18,Outlet Grand Rapids
2024-03-02,21,"Televisor OLED 55"" Smart TV",1,619.15,20,Armstrong-Rice,17,Electronics Austin
2024-04-16,13,lavadora 10kg,2,1300.0,2,Globex Corporation,22,Electronics San Francisco
2024-04-22,10,smartwatch,4,600.0,28,Ortiz PLC,25,Online Electronics
2024-04-04,15,Secadora de Ropa 8kg,1,376.67,7,Wayne Enterprises,12,Outlet Sur
2024-04-28,28,Micrófono USB para Streaming,2,607.32,15,razon social no informada,11,Tienda Norte
2024-03-12,25,Auriculares con Cancelación de Ruido,1,393.14,20,Armstrong-Rice,5,Tienda Premium
2024-04-22,18,Smartphone Plegable 512GB,3,819.51,16,Baker-Johnson,8,ElectroShop Este
2024-03-28,10,smartwatch,2,300.0,16,Baker-Johnson,28,Outlet Philadelphia
2024-03-27,25,Auriculares con Cancelación de Ruido,1,393.14,2,Globex Corporation,5,Tienda Premium
2024-04-03,21,"Televisor OLED 55"" Smart TV",1,619.15,27,Phelps PLC,13,ElectroShop Norte
2024-03-28,9,"tablet 10""",1,400.0,29,Jones-Carter,9,Tienda Online Plus
2024-03-24,24,Auriculares Inalámbricos Bluetooth,1,462.49,25,Scott-Johnson,2,Tienda Central
2024-04-11,5,aspiradora sin bolsa,3,750.0,17,Williams Ltd,6,ElectroShop Oeste
2024-04-29,30,"Monitor 24"" Full HD",1,730.43,6,Stark Industries,7,Tienda Express
2024-04-29,17,Smartphone Plegable 512GB,4,717.2,8,Dunder Mifflin,18,Outlet Grand Rapids
2024-03-03,25,Auriculares con Cancelación de Ruido,2,786.28,16,Baker-Johnson,5,Tienda Premium
2024-03-22,19,Soundbar 2.1 Canales,2,1072.88,6,Stark Industries,10,ElectroShop California
2024-03-07,23,Cámara Digital 20MP,1,256.22,10,Hooli,4,ElectroShop Sur
2024-03-22,4,microondas 20l,1,100.0,5,Weyland-Yutani,12,Outlet Sur
2024-04-10,5,aspiradora sin bolsa,3,750.0,23,"Perkins, Mayo and Richards",10,ElectroShop California
2024-03-27,13,lavadora 10kg,4,2600.0,10,Hooli,19,Tienda Boston Center
2024-04-27,27,"Monitor 24"" Full HD",2,725.26,22,Crosby-Robinson,11,Tienda Norte
2024-03-24,7,home theater 5.1,1,200.0,29,Jones-Carter,7,Tienda Express
2024-04-04,2,lavadora 8kg,2,900.0,17,Williams Ltd,21,Online Electronics
2024-03-08,10,smartwatch,2,300.0,30,Pearson-Grant,15,ElectroShop Phoenix
2024-03-15,23,Cámara Digital 20MP,3,768.66,20,Armstrong-Rice,20,TechStore Columbus
2024-03-26,11,phone,1,150.0,8,Dunder Mifflin,16,Online Electronics
2024-04-01,1,"televisor led 55""",1,500.0,17,Williams Ltd,17,Electronics Austin
2024-03-04,11,phone,1,150.0,25,Scott-Johnson,21,Online Electronics
2024-04-28,25,Auriculares con Cancelación de Ruido,1,393.14,7,Wayne Enterprises,7,Tienda Express
2024-03-06,18,Smartphone Plegable 512GB,1,273.17,28,Ortiz PLC,9,Tienda Online Plus
2024-03-16,6,licuadora 600w,2,140.0,23,"Perkins, Mayo and Richards",21,Online Electronics
2024-03-18,11,phone,1,150.0,7,Wayne Enterprises,10,ElectroShop California
2024-04-19,3,refrigerador doble puerta,1,750.0,22,Crosby-Robinson,27,Outlet Miami
2024-03-18,24,Auriculares Inalámbricos Bluetooth,3,1387.47,18,Thompson-Payne,1,ElectroShop Online
2024-04-11,9,"tablet 10""",1,400.0,6,Stark Industries,29,Outlet Seattle
2024-03-31,20,"Televisor LED 43"" 4K UHD",4,2000.84,28,Ortiz PLC,28,Outlet Philadelphia
2024-04-17,3,refrigerador doble puerta,2,1500.0,5,Weyland-Yutani,12,Outlet Sur
2024-03-20,2,lavadora 8kg,1,450.0,18,Thompson-Payne,9,Tienda Online Plus
2024-03-12,4,microondas 20l,1,100.0,30,Pearson-Grant,15,ElectroShop Phoenix
2024-04-29,30,"Monitor 24"" Full HD",1,730.43,25,Scott-Johnson,17,Electronics Austin
2024-03-01,5,aspiradora sin bolsa,1,250.0,4,Umbrella Corp,30,ElectroShop Online Plus
2024-03-11,17,Smartphone Plegable 512GB,2,358.6,4,Umbrella Corp,26,Virtual Store Pro
2024-03-02,8,"computadora portátil 15""",2,1300.0,10,Hooli,5,Tienda Premium
2024-03-28,6,licuadora 600w,3,210.0,23,"Perkins, Mayo and Richards",10,ElectroShop California
2024-03-16,11,phone,5,750.0,10,Hooli,4,ElectroShop Sur
2024-04-06,2,lavadora 8kg,3,1350.0,5,Weyland-Yutani,20,TechStore Columbus
2024-03-21,24,Auriculares Inalámbricos Bluetooth,2,924.98,10,Hooli,10,ElectroShop California
2024-04-04,2,lavadora 8kg,2,900.0,3,Initech,29,Outlet Seattle
2024-04-09,22,Consola de Videojuegos,3,1366.53,21,Clark-Rodriguez,19,Tienda Boston Center
2024-03-25,8,"computadora portátil 15""",3,1950.0,6,Stark Industries,10,ElectroShop California
2024-04-08,10,smartwatch,5,750.0,17,Williams Ltd,19,Tienda Boston Center
2024-03-09,19,Soundbar 2.1 Canales,1,536.44,30,Pearson-Grant,25,Online Electronics
2024-03-19,7,home theater 5.1,2,400.0,7,Wayne Enterprises,7,Tienda Express
2024-03-22,4,microondas 20l,2,200.0,30,Pearson-Grant,10,ElectroShop California
2024-03-07,26,Smartphone 128GB 5G,5,2839.8,15,razon social no informada,11,Tienda Norte
2024-03-03,20,"Televisor LED 43"" 4K UHD",4,2000.84,18,Thompson-Payne,29,Outlet Seattle
2024-03-18,21,"Televisor OLED 55"" Smart TV",2,1238.3,10,Hooli,9,Tienda Online Plus
2024-03-23,29,Lavadora 15kg Carga Superior,1,1000.0,22,Crosby-Robinson,3,Outlet Norte
2024-03-31,5,aspiradora sin bolsa,2,500.0,10,Hooli,15,ElectroShop Phoenix
2024-03-06,28,Micrófono USB para Streaming,2,607.32,16,Baker-Johnson,16,Online Electronics
2024-04-26,30,"Monitor 24"" Full HD",3,2191.29,30,Pearson-Grant,18,Outlet Grand Rapids
2024-03-13,6,licuadora 600w,2,140.0,2,Globex Corporation,4,ElectroShop Sur
2024-03-17,18,Smartphone Plegable 512GB,2,546.34,17,Williams Ltd,12,Outlet Sur
2024-03-24,3,refrigerador doble puerta,2,1500.0,10,Hooli,19,Tienda Boston Center
2024-03-24,7,home theater 5.1,1,200.0,6,Stark Industries,12,Outlet Sur
2024-03-27,19,Soundbar 2.1 Canales,2,1072.88,3,Initech,3,Outlet Norte
2024-04-03,19,Soundbar 2.1 Canales,2,1072.88,23,"Perkins, Mayo and Richards",25,Online Electronics
2024-03-16,1,"televisor led 55""",4,2000.0,23,"Perkins, Mayo and Richards",3,Outlet Norte
2024-03-09,17,Smartphone Plegable 512GB,3,537.9,1,ACME Corp,4,ElectroShop Sur
2024-03-01,17,Smartphone Plegable 512GB,1,179.3,26,Willis Ltd,17,Electronics Austin
2024-03-29,9,"tablet 10""",5,2000.0,10,Hooli,17,Electronics Austin
2024-04-08,17,Smartphone Plegable 512GB,3,537.9,16,Baker-Johnson,16,Online Electronics
2024-04-28,5,aspiradora sin bolsa,2,500.0,29,Jones-Carter,29,Outlet Seattle
2024-04-05,13,lavadora 10kg,4,2600.0,22,Crosby-Robinson,10,ElectroShop California
2024-03-24,28,Micrófono USB para Streaming,1,303.66,3,Initech,27,Outlet Miami
2024-03-14,18,Smartphone Plegable 512GB,2,546.34,24,Horton Inc,10,ElectroShop California
2024-03-23,2,lavadora 8kg,1,450.0,18,Thompson-Payne,21,Online Electronics
2024-04-01,26,Smartphone 128GB 5G,1,567.96,6,Stark Industries,12,Outlet Sur
2024-03-07,17,Smartphone Plegable 512GB,2,358.6,26,Willis Ltd,23,Virtual Store Pro
2024-04-16,30,"Monitor 24"" Full HD",1,730.43,25,Scott-Johnson,10,ElectroShop California
2024-04-23,27,"Monitor 24"" Full HD",3,1087.89,6,Stark Industries,12,Outlet Sur
2024-04-24,21,"Televisor OLED 55"" Smart TV",1,619.15,8,Dunder Mifflin,13,ElectroShop Norte
2024-03-04,14,refrigerador simple puerta,2,800.0,6,Stark Industries,27,Outlet Miami
2024-03-06,13,lavadora 10kg,1,650.0,18,Thompson-Payne,17,Electronics Austin
2024-03-20,27,"Monitor 24"" Full HD",1,362.63,22,Crosby-Robinson,19,Tienda Boston Center
2024-03-26,27,"Monitor 24"" Full HD",3,1087.89,6,Stark Industries,19,Tienda Boston Center
2024-03-25,14,refrigerador simple puerta,5,2000.0,24,Horton Inc,7,Tienda Express
2024-04-06,25,Auriculares con Cancelación de Ruido,5,1965.7,16,Baker-Johnson,28,Outlet Philadelphia
2024-03-14,30,"Monitor 24"" Full HD",2,1460.86,29,Jones-Carter,11,Tienda Norte
2024-04-23,25,Auriculares con Cancelación de Ruido,3,1179.42,22,Crosby-Robinson,17,Electronics Austin
2024-04-23,28,Micrófono USB para Streaming,2,607.32,5,Weyland-Yutani,28,Outlet Philadelphia
2024-04-29,22,Consola de Videojuegos,2,911.02,21,Clark-Rodriguez,12,Outlet Sur
2024-04-17,24,Auriculares Inalámbricos Bluetooth,3,1387.47,2,Globex Corporation,7,Tienda Express
2024-04-25,22,Consola de Videojuegos,4,1822.04,2,Globex Corporation,9,Tienda Online Plus
2024-04-03,4,microondas 20l,2,200.0,4,Umbrella Corp,21,Online Electronics
2024-04-19,8,"computadora portátil 15""",2,1300.0,18,Thompson-Payne,24,ElectroShop Online Plus
2024-03-18,9,"tablet 10""",4,1600.0,6,Stark Industries,27,Outlet Miami
2024-03-23,24,Auriculares Inalámbricos Bluetooth,1,462.49,22,Crosby-Robinson,4,ElectroShop Sur
2024-03-01,25,Auriculares con Cancelación de Ruido,1,393.14,29,Jones-Carter,26,Virtual Store Pro
2024-03-19,1,"televisor led 55""",1,500.0,9,Pied Piper,29,Outlet Seattle
2024-03-11,28,Micrófono USB para Streaming,1,303.66,20,Armstrong-Rice,5,Tienda Premium
2024-04-07,11,phone,1,150.0,18,Thompson-Payne,16,Online Electronics
2024-04-26,5,aspiradora sin bolsa,2,500.0,2,Globex Corporation,10,ElectroShop California
2024-04-06,3,refrigerador doble puerta,3,2250.0,15,razon social no informada,6,ElectroShop Oeste
2024-04-26,23,Cámara Digital 20MP,2,512.44,17,Williams Ltd,4,ElectroShop Sur
2024-03-11,6,licuadora 600w,1,70.0,6,Stark Industries,24,ElectroShop Online Plus
2024-04-10,19,Soundbar 2.1 Canales,1,536.44,9,Pied Piper,11,Tienda Norte
2024-04-09,17,Smartphone Plegable 512GB,1,179.3,24,Horton Inc,17,Electronics Austin
2024-04-18,18,Smartphone Plegable 512GB,2,546.34,27,Phelps PLC,28,Outlet Philadelphia
2024-03-20,19,Soundbar 2.1 Canales,1,536.44,19,Clark LLC,16,Online Electronics
2024-04-05,5,aspiradora sin bolsa,1,250.0,10,Hooli,3,Outlet Norte
2024-03-31,21,"Televisor OLED 55"" Smart TV",4,2476.6,18,Thompson-Payne,11,Tienda Norte
2024-04-28,30,"Monitor 24"" Full HD",1,730.43,22,Crosby-Robinson,5,Tienda Premium
2024-03-20,10,smartwatch,1,150.0,17,Williams Ltd,4,ElectroShop Sur
2024-03-29,28,Micrófono USB para Streaming,1,303.66,27,Phelps PLC,18,Outlet Grand Rapids
2024-03-18,15,Secadora de Ropa 8kg,5,1883.35,29,Jones-Carter,21,Online Electronics
2024-04-14,4,microondas 20l,1,100.0,15,razon social no informada,3,Outlet Norte
2024-03-08,17,Smartphone Plegable 512GB,1,179.3,30,Pearson-Grant,8,ElectroShop Este
2024-04-24,9,"tablet 10""",1,400.0,23,"Perkins, Mayo and Richards",16,Online Electronics
2024-04-23,10,smartwatch,1,150.0,23,"Perkins, Mayo and Richards",13,ElectroShop Norte
2024-04-20,16,Amplificador de Audio,5,1470.55,1,ACME Corp,30,ElectroShop Online Plus
2024-04-16,23,Cámara Digital 20MP,3,768.66,7,Wayne Enterprises,29,Outlet Seattle
2024-03-26,9,"tablet 10""",2,800.0,1,ACME Corp,22,Electronics San Francisco
2024-03-22,21,"Televisor OLED 55"" Smart TV",5,3095.75,8,Dunder Mifflin,26,Virtual Store Pro
2024-04-11,14,refrigerador simple puerta,2,800.0,21,Clark-Rodriguez,15,ElectroShop Phoenix
2024-04-15,27,"Monitor 24"" Full HD",1,362.63,5,Weyland-Yutani,15,ElectroShop Phoenix
2024-04-11,13,lavadora 10kg,2,1300.0,16,Baker-Johnson,20,TechStore Columbus
2024-03-16,10,smartwatch,1,150.0,15,razon social no informada,19,Tienda Boston Center
2024-04-27,2,lavadora 8kg,4,1800.0,4,Umbrella Corp,3,Outlet Norte
2024-03-04,23,Cámara Digital 20MP,3,768.66,10,Hooli,30,ElectroShop Online Plus
2024-04-13,13,lavadora 10kg,3,1950.0,10,Hooli,11,Tienda Norte
2024-03-31,9,"tablet 10""",1,400.0,8,Dunder Mifflin,25,Online Electronics
2024-03-09,30,"Monitor 24"" Full HD",1,730.43,6,Stark Industries,2,Tienda Central
2024-03-18,13,lavadora 10kg,3,1950.0,20,Armstrong-Rice,12,Outlet Sur
2024-04-28,19,Soundbar 2.1 Canales,4,2145.76,5,Weyland-Yutani,23,Virtual Store Pro
2024-04-17,9,"tablet 10""",1,400.0,28,Ortiz PLC,2,Tienda Central
2024-04-19,23,Cámara Digital 20MP,2,512.44,16,Baker-Johnson,12,Outlet Sur
2024-03-31,26,Smartphone 128GB 5G,4,2271.84,22,Crosby-Robinson,6,ElectroShop Oeste
2024-03-03,28,Micrófono USB para Streaming,2,607.32,29,Jones-Carter,9,Tienda Online Plus
2024-04-30,1,"televisor led 55""",2,1000.0,21,Clark-Rodriguez,1,ElectroShop Online
2024-04-22,16,Amplificador de Audio,2,588.22,22,Crosby-Robinson,28,Outlet Philadelphia
2024-04-02,10,smartwatch,1,150.0,18,Thompson-Payne,19,Tienda Boston Center
2024-03-04,1,"televisor led 55""",4,2000.0,9,Pied Piper,30,ElectroShop Online Plus
2024-04-14,26,Smartphone 128GB 5G,2,1135.92,22,Crosby-Robinson,22,Electronics San Francisco
2024-04-17,26,Smartphone 128GB 5G,2,1135.92,2,Globex Corporation,14,sin descripcion
2024-04-14,7,home theater 5.1,1,200.0,2,Globex Corporation,7,Tienda Express
2024-04-06,8,"computadora portátil 15""",1,650.0,24,Horton Inc,10,ElectroShop California
2024-03-28,15,Secadora de Ropa 8kg,1,376.67,14,Biohazard Inc,28,Outlet Philadelphia
2024-04-12,29,Lavadora 15kg Carga Superior,2,2000.0,26,Willis Ltd,8,ElectroShop Este
2024-04-24,26,Smartphone 128GB 5G,2,1135.92,26,Willis Ltd,23,Virtual Store Pro
2024-04-24,17,Smartphone Plegable 512GB,1,179.3,4,Umbrella Corp,5,Tienda Premium
2024-03-12,19,Soundbar 2.1 Canales,2,1072.88,25,Scott-Johnson,28,Outlet Philadelphia
2024-04-09,28,Micrófono USB para Streaming,1,303.66,3,Initech,26,Virtual Store Pro
2024-04-30,18,Smartphone Plegable 512GB,2,546.34,19,Clark LLC,6,ElectroShop Oeste
2024-03-25,10,smartwatch,1,150.0,23,"Perkins, Mayo and Richards",10,ElectroShop California
2024-03-19,7,home theater 5.1,2,400.0,18,Thompson-Payne,27,Outlet Miami
2024-03-14,27,"Monitor 24"" Full HD",3,1087.89,1,ACME Corp,23,Virtual Store Pro
2024-04-10,21,"Televisor OLED 55"" Smart TV",1,619.15,19,Clark LLC,10,ElectroShop California
2024-03-22,9,"tablet 10""",1,400.0,23,"Perkins, Mayo and Richards",28,Outlet Philadelphia
2024-04-23,1,"televisor led 55""",4,2000.0,1,ACME Corp,20,TechStore Columbus
2024-04-22,25,Auriculares con Cancelación de Ruido,1,393.14,28,Ortiz PLC,10,ElectroShop California
2024-04-23,22,Consola de Videojuegos,2,911.02,8,Dunder Mifflin,8,ElectroShop Este
2024-03-26,17,Smartphone Plegable 512GB,1,179.3,29,Jones-Carter,18,Outlet Grand Rapids
2024-03-24,11,phone,1,150.0,2,Globex Corporation,4,ElectroShop Sur
2024-04-05,17,Smartphone Plegable 512GB,1,179.3,18,Thompson-Payne,12,Outlet Sur
2024-03-18,18,Smartphone Plegable 512GB,2,546.34,6,Stark Industries,19,Tienda Boston Center
2024-03-25,5,aspiradora sin bolsa,3,750.0,23,"Perkins, Mayo and Richards",15,ElectroShop Phoenix
2024-03-08,30,"Monitor 24"" Full HD",1,730.43,4,Umbrella Corp,27,Outlet Miami
2024-03-11,3,refrigerador doble puerta,2,1500.0,19,Clark LLC,16,Online Electronics
2024-04-22,27,"Monitor 24"" Full HD",2,725.26,19,Clark LLC,10,ElectroShop California
2024-04-13,22,Consola de Videojuegos,1,455.51,16,Baker-Johnson,18,Outlet Grand Rapids
2024-03-07,14,refrigerador simple puerta,5,2000.0,14,Biohazard Inc,18,Outlet Grand Rapids
2024-03-08,28,Micrófono USB para Streaming,1,303.66,24,Horton Inc,6,ElectroShop Oeste
2024-04-19,7,home theater 5.1,5,1000.0,23,"Perkins, Mayo and Richards",8,ElectroShop Este
2024-04-22,27,"Monitor 24"" Full HD",1,362.63,20,Armstrong-Rice,19,Tienda Boston Center
2024-04-06,30,"Monitor 24"" Full HD",1,730.43,2,Globex Corporation,15,ElectroShop Phoenix
2024-03-05,20,"Televisor LED 43"" 4K UHD",2,1000.42,7,Wayne Enterprises,21,Online Electronics
2024-04-16,1,"televisor led 55""",2,1000.0,7,Wayne Enterprises,23,Virtual Store Pro
2024-04-01,10,smartwatch,2,300.0,16,Baker-Johnson,16,Online Electronics
2024-04-08,8,"computadora portátil 15""",2,1300.0,20,Armstrong-Rice,4,ElectroShop Sur
2024-04-03,22,Consola de Videojuegos,2,911.02,14,Biohazard Inc,10,ElectroShop California
2024-03-15,8,"computadora portátil 15""",5,3250.0,30,Pearson-Grant,19,Tienda Boston Center
2024-04-10,21,"Televisor OLED 55"" Smart TV",4,2476.6,25,Scott-Johnson,24,ElectroShop Online Plus
2024-03-22,4,microondas 20l,1,100.0,9,Pied Piper,12,Outlet Sur
2024-04-20,2,lavadora 8kg,3,1350.0,29,Jones-Carter,24,ElectroShop Online Plus
2024-03-03,7,home theater 5.1,1,200.0,8,Dunder Mifflin,29,Outlet Seattle
2024-03-28,27,"Monitor 24"" Full HD",3,1087.89,20,Armstrong-Rice,27,Outlet Miami
2024-04-08,6,licuadora 600w,1,70.0,3,Initech,20,TechStore Columbus
2024-03-24,11,phone,1,150.0,24,Horton Inc,18,Outlet Grand Rapids
2024-03-10,21,"Televisor OLED 55"" Smart TV",1,619.15,5,Weyland-Yutani,14,sin descripcion
2024-04-17,14,refrigerador simple puerta,2,800.0,30,Pearson-Grant,18,Outlet Grand Rapids
2024-04-24,3,refrigerador doble puerta,1,750.0,30,Pearson-Grant,20,TechStore Columbus
2024-04-18,13,lavadora 10kg,3,1950.0,23,"Perkins, Mayo and Richards",30,ElectroShop Online Plus
2024-03-08,29,Lavadora 15kg Carga Superior,1,1000.0,18,Thompson-Payne,23,Virtual Store Pro
2024-03-28,24,Auriculares Inalámbricos Bluetooth,2,924.98,25,Scott-Johnson,9,Tienda Online Plus
2024-03-21,27,"Monitor 24"" Full HD",1,362.63,24,Horton Inc,18,Outlet Grand Rapids
2024-04-23,2,lavadora 8kg,1,450.0,23,"Perkins, Mayo and Richards",1,ElectroShop Online
2024-04-02,11,phone,1,150.0,28,Ortiz PLC,8,ElectroShop Este
2024-03-15,3,refrigerador doble puerta,4,3000.0,10,Hooli,24,ElectroShop Online Plus
2024-03-22,17,Smartphone Plegable 512GB,1,179.3,15,razon social no informada,18,Outlet Grand Rapids
2024-04-17,29,Lavadora 15kg Carga Superior,3,3000.0,28,Ortiz PLC,13,ElectroShop Norte
2024-03-02,4,microondas 20l,1,100.0,22,Crosby-Robinson,8,ElectroShop Este
2024-04-14,25,Auriculares con Cancelación de Ruido,4,1572.56,16,Baker-Johnson,26,Virtual Store Pro
2024-04-26,19,Soundbar 2.1 Canales,3,1609.32,3,Initech,21,Online Electronics
2024-03-31,7,home theater 5.1,2,400.0,14,Biohazard Inc,5,Tienda Premium
2024-03-30,3,refrigerador doble puerta,2,1500.0,15,razon social no informada,5,Tienda Premium
2024-04-19,24,Auriculares Inalámbricos Bluetooth,2,924.98,4,Umbrella Corp,25,Online Electronics
2024-04-27,7,home theater 5.1,2,400.0,2,Globex Corporation,1,ElectroShop Online
2024-03-02,22,Consola de Videojuegos,1,455.51,28,Ortiz PLC,9,Tienda Online Plus
2024-03-08,30,"Monitor 24"" Full HD",2,1460.86,23,"Perkins, Mayo and Richards",12,Outlet Sur
2024-03-13,1,"televisor led 55""",1,500.0,20,Armstrong-Rice,15,ElectroShop Phoenix
2024-04-29,16,Amplificador de Audio,1,294.11,23,"Perkins, Mayo and Richards",9,Tienda Online Plus
2024-03-11,14,refrigerador simple puerta,2,800.0,16,Baker-Johnson,1,ElectroShop Online
2024-04-30,11,phone,1,150.0,4,Umbrella Corp,23,Virtual Store Pro
2024-04-07,4,microondas 20l,1,100.0,18,Thompson-Payne,30,ElectroShop Online Plus
2024-03-05,8,"computadora portátil 15""",1,650.0,9,Pied Piper,21,Online Electronics
2024-03-12,1,"televisor led 55""",1,500.0,6,Stark Industries,24,ElectroShop Online Plus
2024-03-06,22,Consola de Videojuegos,2,911.02,20,Armstrong-Rice,13,ElectroShop Norte
